"site.no","station.name","LATITUDE","LONGITUDE","last.date","rtd","median","anom","perc","perc.anom","curr.dec"
"10000","AMERY ACRES",-31.1683,117.0828,2002-10-31,190.3,NA,NA,NA,NA,2
"10004","BEACON",-30.4506,117.8631,2002-10-31,119.5,NA,NA,NA,NA,2
"10006","BELKA",-31.7292,118.1094,2002-10-31,125.6,NA,NA,NA,NA,1
"10007","BENCUBBIN",-30.8094,117.8589,2002-10-31,99.8,NA,NA,NA,NA,1
"10009","BOLGART",-31.2767,116.5078,2002-10-31,229.6,NA,NA,NA,NA,1
"10011","BONNIE ROCK",-30.4747,118.3806,2002-10-31,84.3,NA,NA,NA,NA,1
"10019","BURRACOPPIN POST OFFICE",-31.3969,118.4744,2002-10-31,126.6,NA,NA,NA,NA,1
"10022","CARDONIA",-31.5,117.8025,2002-10-31,133.7,NA,NA,NA,NA,1
"10023","CARTERVILLE",-31.5022,116.9394,2002-10-31,219.6,NA,NA,NA,NA,3
"10026","GOODLANDS",-30.0617,117.1403,2002-10-31,102,NA,NA,NA,NA,1
"10030","WATTONING",-30.7689,118.2189,2002-10-31,88.4,NA,NA,NA,NA,1
"10032","COWCOWING",-30.9972,117.3939,2002-10-31,113.6,NA,NA,NA,NA,1
"10040","DOODLAKINE",-31.6103,117.8761,2002-10-31,114.6,NA,NA,NA,NA,1
"10041","DOONGIN PEAK",-31.6203,117.4356,2002-10-31,147.4,NA,NA,NA,NA,1
"10042","DOWERIN POST OFFICE",-31.1947,117.03,2002-10-31,177,NA,NA,NA,NA,1
"10044","BUNGULLA",-31.6247,117.5414,2002-10-31,132.2,NA,NA,NA,NA,1
"10045","EJANDING",-31.0106,117.1319,2002-10-31,142,NA,NA,NA,NA,1
"10055","GABBIN",-30.8017,117.6778,2002-10-31,107,NA,NA,NA,NA,1
"10058","GOOMALLING",-31.3017,116.8253,2002-10-31,234.4,NA,NA,NA,NA,4
"10061","HAPPY VALLEY",-31.1422,116.9542,2002-10-31,185.3,NA,NA,NA,NA,2
"10069","JUROKINE",-31.3,116.6,2002-10-31,226.8,NA,NA,NA,NA,2
"10070","KALANNIE",-30.37,117.1119,2002-10-31,96.4,NA,NA,NA,NA,1
"10073","KELLERBERRIN",-31.6192,117.7194,2002-10-31,139.1,NA,NA,NA,NA,2
"10076","KONNONGORRING",-31.0611,116.7311,2002-10-31,159.3,NA,NA,NA,NA,1
"10077","KOORDA",-30.8261,117.4811,2002-10-31,97.2,NA,NA,NA,NA,1
"10082","KUNUNOPPIN",-31.1139,117.9167,2002-10-31,99.6,NA,NA,NA,NA,1
"10084","GLAMOFF",-30.1069,117.3583,2002-10-31,118.6,NA,NA,NA,NA,2
"10091","MECKERING",-31.6333,117.0069,2002-10-31,211.3,NA,NA,NA,NA,3
"10092","MERREDIN",-31.4769,118.2778,2002-10-31,108.2,NA,NA,NA,NA,1
"10096","MOLLERIN POST OFFICE",-30.4594,117.5217,2002-10-31,97.9,NA,NA,NA,NA,1
"10097","MONINGARIN",-30.6567,117.2583,2002-10-31,120.6,NA,NA,NA,NA,1
"10102","MUKINBUDIN",-30.9172,118.2078,2002-10-31,63,NA,NA,NA,NA,1
"10111","NORTHAM",-31.6422,116.6692,2002-10-31,233.9,NA,NA,NA,NA,2
"10112","NUNGARIN POST OFFICE",-31.1856,118.0989,2002-10-31,109.9,NA,NA,NA,NA,1
"10115","QUELLINGTON",-31.7733,116.8636,2002-10-31,171.4,NA,NA,NA,NA,1
"10119","KITLANE",-31.7964,118.3939,2002-10-31,119.8,NA,NA,NA,NA,1
"10121","TAMMIN POST OFFICE",-31.645,117.485,2002-10-31,142.2,NA,NA,NA,NA,1
"10124","NANGEENAN",-31.5147,118.1736,2002-10-31,111.3,NA,NA,NA,NA,1
"10125","TOODYAY",-31.5464,116.4583,2002-10-31,328.6,NA,NA,NA,NA,3
"10126","TRAYNING",-31.1167,117.7933,2002-10-31,109.4,NA,NA,NA,NA,1
"10134","WATTENING",-31.3128,116.5142,2002-10-31,229,NA,NA,NA,NA,1
"10135","WIALKI",-30.4883,118.1242,2002-10-31,100.5,NA,NA,NA,NA,1
"10136","WIALKI SOUTH",-30.59,118.1486,2002-10-31,79.8,NA,NA,NA,NA,1
"10140","WYALKATCHEM",-31.1817,117.3781,2002-10-31,103.8,NA,NA,NA,NA,1
"10141","XANTIPPE",-30.2903,117.0092,2002-10-31,70,NA,NA,NA,NA,1
"10143","YGNATTERING",-31.4008,117.2706,2002-10-31,140.4,NA,NA,NA,NA,1
"10145","YORKRAKINE",-31.3767,117.5839,2002-10-31,119.3,NA,NA,NA,NA,1
"10149","CODG CODGEN",-31.3381,117.8158,2002-10-31,117.4,NA,NA,NA,NA,1
"10150","GRASS VALLEY",-31.6372,116.7956,2002-10-31,189.4,NA,NA,NA,NA,1
"10151","HINES HILL",-31.5358,118.0744,2002-10-31,98.2,NA,NA,NA,NA,1
"10152","MURESK AGRIC.COLLEGE",-31.75,116.6833,2002-10-31,228.7,NA,NA,NA,NA,1
"10155","CADOUX",-30.7697,117.1347,2002-10-31,124.4,NA,NA,NA,NA,1
"10156","CALINGIRI",-31.0911,116.4486,2002-10-31,258.3,NA,NA,NA,NA,3
"10165","GREEN HILLS",-31.9422,116.9825,2002-10-31,170.4,NA,NA,NA,NA,1
"10192","JOURERDINE",-30.5769,118.2856,2002-10-31,91.6,NA,NA,NA,NA,1
"10264","KENANDRA",-30.1564,117.82,2002-10-31,100.6,NA,NA,NA,NA,1
"10286","CUNDERDIN AIRFIELD",-31.6233,117.2206,2002-10-31,164.4,NA,NA,NA,NA,1
"10295","BALKULING NORTH",-31.9081,117.2322,2002-10-31,172,NA,NA,NA,NA,1
"10311","YORK",-31.9008,116.7633,2002-10-31,240,NA,NA,NA,NA,1
"10503","ARDATH",-32.0311,118.0925,2002-10-31,162,NA,NA,NA,NA,2
"10505","ARTHUR RIVER COMP",-33.3442,117.0347,2002-10-31,299.2,NA,NA,NA,NA,4
"10508","BADGEBUP",-33.6372,117.9258,2002-10-31,187.4,NA,NA,NA,NA,2
"10510","BAROOGA",-33.1658,116.7978,2002-10-31,323.6,NA,NA,NA,NA,4
"10515","BEVERLEY",-32.1083,116.9225,2002-10-31,204.3,NA,NA,NA,NA,1
"10518","BOORALEE",-32.4028,118.6042,2002-10-31,106.6,NA,NA,NA,NA,1
"10519","BORDEN POST OFFICE",-34.0733,118.2614,2002-10-31,158.4,NA,NA,NA,NA,1
"10520","BOSCABEL",-33.6622,117.0525,2002-10-31,307.4,NA,NA,NA,NA,3
"10524","BROOKTON",-32.3733,117.0047,2002-10-31,281.5,NA,NA,NA,NA,3
"10525","BROOMEHILL POST OFFICE",-33.8478,117.6375,2002-10-31,260.6,NA,NA,NA,NA,3
"10527","BULYEE",-32.38,117.51,2002-10-31,148.1,NA,NA,NA,NA,1
"10528","BUNKIN",-33.2486,117.6597,2002-10-31,245.6,NA,NA,NA,NA,6
"10530","CHAMINGUP",-33.9158,117.0981,2002-10-31,378.7,NA,NA,NA,NA,4
"10531","CHERRY TREE",-33.6875,117.2047,2002-10-31,272.4,NA,NA,NA,NA,3
"10534","COLORADO",-32.4839,117.5639,2002-10-31,156.1,NA,NA,NA,NA,1
"10536","CORRIGIN",-32.3303,117.8717,2002-10-31,173.2,NA,NA,NA,NA,2
"10537","CRANBROOK",-34.2956,117.5656,2002-10-31,274.2,NA,NA,NA,NA,2
"10538","CUBALLING POST OFFICE",-32.82,117.1767,2002-10-31,280.8,NA,NA,NA,NA,3
"10540","KENILWORTH TU",-32.4667,116.8,2002-10-31,283.7,NA,NA,NA,NA,2
"10541","NYERILUP",-33.8614,118.8131,2002-10-31,148,NA,NA,NA,NA,1
"10542","DARKAN POST OFFICE",-33.335,116.7411,2002-10-31,341.2,NA,NA,NA,NA,3
"10544","DELLYANINE",-33.3967,117.0931,2002-10-31,297.5,NA,NA,NA,NA,3
"10546","DUMBLEYUNG POST OFFICE",-33.3142,117.7361,2002-10-31,185.2,NA,NA,NA,NA,1
"10558","GNOWANGERUP POST OFFICE",-33.9375,118.0064,2002-10-31,195.4,NA,NA,NA,NA,2
"10560","GRAHAM ROCK",-32.5411,119.1108,2002-10-31,124.6,NA,NA,NA,NA,1
"10561","RUSHY POOL",-33.0286,117.3867,2002-10-31,226.2,NA,NA,NA,NA,3
"10565","HOLT ROCK",-32.6753,119.4125,2002-10-31,88.6,NA,NA,NA,NA,1
"10566","KENINE HILL",-33.5717,117.2094,2002-10-31,245.4,NA,NA,NA,NA,2
"10568","HYDEN",-32.4436,118.8967,2002-10-31,130.3,NA,NA,NA,NA,1
"10576","KARLGARIN POST OFFICE",-32.5011,118.7097,2002-10-31,108.3,NA,NA,NA,NA,1
"10581","KING ROCKS",-32.2908,119.1358,2002-10-31,99.8,NA,NA,NA,NA,1
"10582","KOJONUP",-33.8389,117.1506,2002-10-31,303.9,NA,NA,NA,NA,3
"10583","KONDININ POST OFFICE",-32.4956,118.2656,2002-10-31,143.4,NA,NA,NA,NA,1
"10584","KULIN POST OFFICE",-32.6728,118.1536,2002-10-31,126,NA,NA,NA,NA,1
"10593","LAKE KING POST OFFICE",-33.0878,119.6733,2002-10-31,105.6,NA,NA,NA,NA,1
"10595","PINGRUP SOUTH",-33.6533,118.5508,2002-10-31,119.3,NA,NA,NA,NA,1
"10606","LAKE CAMM",-32.9339,119.6133,2002-10-31,99.8,NA,NA,NA,NA,1
"10611","TRURO",-33.2772,119.7736,2002-10-31,106.8,NA,NA,NA,NA,1
"10612","NAREMBEEN",-32.0669,118.3942,2002-10-31,142.7,NA,NA,NA,NA,2
"10614","NARROGIN",-32.9356,117.1783,2002-10-31,285.9,NA,NA,NA,NA,3
"10619","NYABING POST OFFICE",-33.5431,118.1472,2002-10-31,217.4,NA,NA,NA,NA,4
"10620","OAKLAND",-32.305,116.6347,2002-10-31,310.6,NA,NA,NA,NA,2
"10622","ONGERUP",-33.9658,118.4875,2002-10-31,190.8,NA,NA,NA,NA,2
"10625","PINGARING POST OFFICE",-32.755,118.6256,2002-10-31,163,NA,NA,NA,NA,1
"10626","PINGELLY",-32.5353,117.0819,2002-10-31,226,NA,NA,NA,NA,2
"10627","PINGRUP",-33.5353,118.5081,2002-10-31,129.8,NA,NA,NA,NA,1
"10628","QUAIRADING POST OFFICE",-32.0108,117.3997,2002-10-31,164.9,NA,NA,NA,NA,2
"10633","RAVENSTHORPE",-33.5814,120.0442,2002-10-31,121.9,NA,NA,NA,NA,1
"10635","RIVERDALE",-33.7864,116.905,2002-10-31,336.2,NA,NA,NA,NA,4
"10636","THE OAKS",-33.1583,117.6697,2002-10-31,227.4,NA,NA,NA,NA,3
"10643","TAMBELLUP",-34.0456,117.6394,2002-10-31,238.5,NA,NA,NA,NA,3
"10647","WAGIN",-33.3081,117.34,2002-10-31,252.3,NA,NA,NA,NA,3
"10651","CLOUGHTON",-32.2925,116.6708,2002-10-31,305.1,NA,NA,NA,NA,2
"10654","WICKEPIN",-32.7831,117.5025,2002-10-31,194.5,NA,NA,NA,NA,1
"10655","WILLIAMS POST OFFICE",-33.0278,116.8786,2002-10-31,357.2,NA,NA,NA,NA,5
"10657","YOUANMI",-33.325,117.9292,2002-10-31,156.6,NA,NA,NA,NA,1
"10659","WOODANILLING",-33.5644,117.4322,2002-10-31,289.6,NA,NA,NA,NA,4
"10665","KUKERIN POST OFFICE",-33.1903,118.0811,2002-10-31,155.4,NA,NA,NA,NA,1
"10666","LOCHNAGAR",-32.0408,118.9006,2002-10-31,119.4,NA,NA,NA,NA,1
"10668","KOORIKIN",-32.47,118.1442,2002-10-31,144.2,NA,NA,NA,NA,2
"10692","NEWDEGATE RES.STATION",-33.1139,118.8381,2002-10-31,150.2,NA,NA,NA,NA,1
"10694","TWOLGANUP",-33.9956,117.9164,2002-10-31,170.2,NA,NA,NA,NA,1
"10696","AMRISTA PARK",-32.6617,118.6306,2002-10-31,161.8,NA,NA,NA,NA,1
"10700","KOJONOLOKAN HILLS",-33.4986,117.3117,2002-10-31,230.2,NA,NA,NA,NA,2
"10702","MOUNT WALKER",-32.1011,118.8047,2002-10-31,121,NA,NA,NA,NA,1
"10707","JERRAMUNGUP POST OFFICE",-33.9431,118.9189,2002-10-31,165.6,NA,NA,NA,NA,1
"10729","CHILLINUP",-34.3,118.6,2002-10-31,153.2,NA,NA,NA,NA,1
"10792","GAIRDNER",-34.1708,118.9428,2002-10-31,176.5,NA,NA,NA,NA,1
"10797","ELAROO",-34.2539,117.9103,2002-10-31,215.2,NA,NA,NA,NA,3
"10807","BILBARIN",-32.1758,117.9658,2002-10-31,159.5,NA,NA,NA,NA,2
"10823","GLENMORE",-32.2383,117.6361,2002-10-31,154.8,NA,NA,NA,NA,1
"10851","KATANDRA",-32.8208,119.2925,2002-10-31,109.5,NA,NA,NA,NA,1
"10866","CRANHAM",-33.9331,117.3242,2002-10-31,320.2,NA,NA,NA,NA,4
"10872","DUNELM",-33.1733,118.2458,2002-10-31,126,NA,NA,NA,NA,1
"10878","CHESALON",-33.5394,119.655,2002-10-31,142.2,NA,NA,NA,NA,1
"10889","MORDETTA",-32.885,118.6322,2002-10-31,100.6,NA,NA,NA,NA,1
"10894","ESPERIA",-32.635,119.0944,2002-10-31,124.8,NA,NA,NA,NA,1
"10904","SWANARA",-32.1717,118.6136,2002-10-31,112.9,NA,NA,NA,NA,1
"10905","JACUP",-33.8892,119.1075,2002-10-31,172.2,NA,NA,NA,NA,1
"10911","LAKE GRACE",-33.1019,118.4625,2002-10-31,113.4,NA,NA,NA,NA,1
"10916","KATANNING",-33.6869,117.6047,2002-10-31,273.4,NA,NA,NA,NA,4
"10917","WANDERING",-32.67,116.67,2002-10-31,385,NA,NA,NA,NA,3
"12007","BOODAROCKIN",-31.0622,118.8367,2002-10-31,103.3,NA,NA,NA,NA,1
"12009","NORSEMAN AERO",-32.2147,121.7547,2002-10-31,61.8,NA,NA,NA,NA,1
"12011","BULLFINCH",-30.9886,119.1131,2002-10-31,98.3,NA,NA,NA,NA,1
"12026","BODALLIN SOUTH",-31.6428,118.9011,2002-10-31,135.2,NA,NA,NA,NA,1
"12028","GORYA VALLEY",-33.0383,121.6633,2002-10-31,82.4,NA,NA,NA,NA,1
"12044","MUNGLINUP WEST",-33.5547,120.6997,2002-10-31,117.4,NA,NA,NA,NA,1
"12054","DOBRA SCRITIA",-31.4172,119.045,2002-10-31,107.3,NA,NA,NA,NA,1
"12056","MOREE",-31.5953,119.1403,2002-10-31,126.2,NA,NA,NA,NA,1
"12064","NOONGAAR",-31.3364,118.9781,2002-10-31,113.6,NA,NA,NA,NA,1
"12065","NORSEMAN",-32.1992,121.7786,2002-10-31,61.9,NA,NA,NA,NA,1
"12071","SALMON GUMS RES.STN.",-32.9881,121.6225,2002-10-31,99.2,NA,NA,NA,NA,1
"12077","I DUNNO",-32.8617,121.7064,2002-10-31,99.8,NA,NA,NA,NA,1
"12083","WESTONIA",-31.3025,118.6906,2002-10-31,147.4,NA,NA,NA,NA,2
"12101","SEVEN OAKS",-31.3225,118.5131,2002-10-31,102.4,NA,NA,NA,NA,1
"12114","RICHFIELDS",-33.6861,120.6942,2002-10-31,92.9,NA,NA,NA,NA,1
"12198","SCADDAN WEST",-33.3856,121.4472,2002-10-31,139.8,NA,NA,NA,NA,1
"12201","YOUANMI VALLEY",-31.7042,119.2356,2002-10-31,133.8,NA,NA,NA,NA,1
"12223","LORT RIVER",-33.225,121.3528,2002-10-31,110.8,NA,NA,NA,NA,1
"12265","CIRCLE VALLEY",-33.0617,121.7967,2002-10-31,82.6,NA,NA,NA,NA,1
"12281","MUNGLINUP MELALEUCA",-33.5989,120.7556,2002-10-31,155,NA,NA,NA,NA,1
"12295","COPPIN ROCK",-31.1131,118.6092,2002-10-31,100.2,NA,NA,NA,NA,1
"12312","KATTA BAREGA",-33.5917,122.4503,2002-10-31,210.1,NA,NA,NA,NA,1
"12320","SOUTHERN CROSS AIRFIELD",-31.2364,119.3547,2002-10-31,85.2,NA,NA,NA,NA,1
"7011","BURNERBINMAH",-28.785,117.3592,2002-10-31,83.2,NA,NA,NA,NA,2
"7027","GABYON",-28.2508,116.3389,2002-10-31,108.5,NA,NA,NA,NA,3
"7068","NINGHAN STATION",-29.4258,117.2894,2002-10-31,93.7,NA,NA,NA,NA,1
"8005","BARBERTON",-30.7306,116.0197,2002-10-31,258.2,NA,NA,NA,NA,1
"8008","BERKSHIRE VALLEY 2",-30.5847,116.1342,2002-10-31,212,NA,NA,NA,NA,1
"8009","BINDI BINDI EAST",-30.6297,116.3847,2002-10-31,199,NA,NA,NA,NA,2
"8013","BOWGADA",-29.3317,116.1414,2002-10-31,125.6,NA,NA,NA,NA,1
"8025","CARNAMAH",-29.69,115.8853,2002-10-31,184.4,NA,NA,NA,NA,3
"8028","NABAWA",-28.5008,114.7897,2002-10-31,299.5,NA,NA,NA,NA,5
"8037","COOROW POST OFFICE",-29.8833,116.0208,2002-10-31,175.3,NA,NA,NA,NA,2
"8041","DARTMOOR",-27.9775,115.2103,2002-10-31,116.3,NA,NA,NA,NA,3
"8044","DONGARA",-29.2531,114.9333,2002-10-31,310.9,NA,NA,NA,NA,4
"8050","GERALDTON WATER SUPPLY",-28.7758,114.6239,2002-10-31,302.9,NA,NA,NA,NA,4
"8051","GERALDTON AIRPORT",-28.7961,114.6961,2002-10-31,285.2,NA,NA,NA,NA,4
"8057","GREEN GROVE",-29.55,115.0669,2002-10-31,319.4,NA,NA,NA,NA,3
"8060","SOUTH HOLMWOOD",-29.0375,115.5528,2002-10-31,188,NA,NA,NA,NA,3
"8066","KOKARDINE",-30.7022,117.0592,2002-10-31,122.8,NA,NA,NA,NA,1
"8072","LATHAM POST OFFICE",-29.7592,116.4425,2002-10-31,101,NA,NA,NA,NA,1
"8075","LYNTON",-28.2103,114.305,2002-10-31,236.3,NA,NA,NA,NA,4
"8077","HIGHFIELDS",-29.6017,115.9386,2002-10-31,173.9,NA,NA,NA,NA,2
"8078","MALLEE VALE",-29.2453,115.76,2002-10-31,179.6,NA,NA,NA,NA,1
"8084","MANAVI",-30.2619,116.2078,2002-10-31,149.2,NA,NA,NA,NA,1
"8085","MILING POST OFFICE",-30.4931,116.3606,2002-10-31,177.2,NA,NA,NA,NA,1
"8086","MURRUMBAH",-29.1511,115.2408,2002-10-31,258.1,NA,NA,NA,NA,2
"8088","MINGENEW POST OFFICE",-29.1922,115.435,2002-10-31,187.6,NA,NA,NA,NA,2
"8091","MOORA",-30.6428,116.0058,2002-10-31,222.8,NA,NA,NA,NA,1
"8095","MULLEWA",-28.5381,115.5128,2002-10-31,150.9,NA,NA,NA,NA,2
"8096","MUMBY",-28.1525,114.5689,2002-10-31,225.3,NA,NA,NA,NA,3
"8100","NORTHAMPTON",-28.3461,114.6361,2002-10-31,348,NA,NA,NA,NA,6
"8104","OGILVIE",-28.1544,114.6692,2002-10-31,194.8,NA,NA,NA,NA,2
"8107","PERENJORI POST OFFICE",-29.4403,116.2833,2002-10-31,121.3,NA,NA,NA,NA,2
"8113","RIVERSIDE",-27.8328,114.735,2002-10-31,161.3,NA,NA,NA,NA,4
"8116","SANDSPRINGS",-28.7892,114.9417,2002-10-31,321.4,NA,NA,NA,NA,4
"8120","TENINDEWA",-28.6214,115.3644,2002-10-31,157.1,NA,NA,NA,NA,3
"8121","THREE SPRINGS",-29.5356,115.7614,2002-10-31,197.9,NA,NA,NA,NA,3
"8124","TARDUN",-28.7939,115.7497,2002-10-31,142.6,NA,NA,NA,NA,2
"8130","WATHEROO",-30.3,116.0581,2002-10-31,161.8,NA,NA,NA,NA,1
"8137","WONGAN HILLS",-30.8931,116.7181,2002-10-31,206,NA,NA,NA,NA,2
"8141","WILLI GULLI NORTH",-28.3811,114.4531,2002-10-31,293.5,NA,NA,NA,NA,4
"8143","YANDANOOKA",-29.2883,115.6314,2002-10-31,192.2,NA,NA,NA,NA,2
"8147","YUNA",-28.325,114.9586,2002-10-31,186.6,NA,NA,NA,NA,3
"8157","CANNA",-28.8989,115.8617,2002-10-31,132.8,NA,NA,NA,NA,1
"8159","MAYSBORO",-30.9917,116.3542,2002-10-31,259.4,NA,NA,NA,NA,3
"8200","ERADU",-28.6936,115.0408,2002-10-31,186.8,NA,NA,NA,NA,2
"8225","ENEABBA",-29.8197,115.2706,2002-10-31,315.3,NA,NA,NA,NA,2
"8233","FIVE GUMS - WALBULA STUD",-29.53,116.0625,2002-10-31,155.4,NA,NA,NA,NA,2
"8240","COOLANGATTA 2",-28.8942,115.4517,2002-10-31,154.6,NA,NA,NA,NA,2
"8251","KALBARRI",-27.7128,114.1614,2002-10-31,224.1,NA,NA,NA,NA,3
"8254","KONDUT",-30.7103,116.7728,2002-10-31,149.7,NA,NA,NA,NA,1
"8261","MINDARA",-29.0656,115.1739,2002-10-31,273.8,NA,NA,NA,NA,3
"8264","WANARRA",-29.5161,116.8006,2002-10-31,107,NA,NA,NA,NA,2
"8273","ARENA",-29.3625,115.4447,2002-10-31,244.9,NA,NA,NA,NA,3
"8288","GHURKA",-28.2575,114.6033,2002-10-31,249,NA,NA,NA,NA,3
"8294","WANDANA",-28.2094,115.285,2002-10-31,132.9,NA,NA,NA,NA,3
"8296","MORAWA AIRPORT",-29.205,116.0231,2002-10-31,132.6,NA,NA,NA,NA,2
"8297","DALWALLINU",-30.2775,116.6703,2002-10-31,102.2,NA,NA,NA,NA,1
"9006","CHELSEA",-30.6269,115.7783,2002-10-31,301,NA,NA,NA,NA,2
"9007","CHIDLOW",-31.8633,116.2642,2002-10-31,612.6,NA,NA,NA,NA,5
"9014","DANDARAGAN WEST",-30.6975,115.5817,2002-10-31,446,NA,NA,NA,NA,4
"9018","GINGIN",-31.3481,115.9022,2002-10-31,430.2,NA,NA,NA,NA,2
"9021","PERTH AIRPORT",-31.9283,115.9739,2002-10-31,530.8,NA,NA,NA,NA,2
"9023","JARRAHDALE",-32.3306,116.0539,2002-10-31,813.8,NA,NA,NA,NA,4
"9025","MIDLAND",-31.8689,116.0167,2002-10-31,555.5,NA,NA,NA,NA,4
"9029","MUCHEA TREE FARM",-31.5842,115.9642,2002-10-31,541.8,NA,NA,NA,NA,4
"9030","MUNDARING",-31.8989,116.1558,2002-10-31,840.2,NA,NA,NA,NA,6
"9033","NEW NORCIA POST OFFICE",-30.9742,116.2103,2002-10-31,310.7,NA,NA,NA,NA,4
"9037","BADGINGARRA RESEARCH STN",-30.3392,115.5378,2002-10-31,363.5,NA,NA,NA,NA,3
"9039","SERPENTINE",-32.3547,116.0033,2002-10-31,695.2,NA,NA,NA,NA,6
"9040","WANNAMAL",-31.1442,116.0519,2002-10-31,368.7,NA,NA,NA,NA,3
"9053","PEARCE RAAF",-31.6681,116.0175,2002-10-31,473.3,NA,NA,NA,NA,3
"9054","TAMBREY",-30.6044,115.5414,2002-10-31,383.6,NA,NA,NA,NA,2
"9066","GIDGEGANNUP 3",-31.7919,116.1964,2002-10-31,686.3,NA,NA,NA,NA,5
"9105","WANNEROO",-31.7333,115.7917,2002-10-31,535.1,NA,NA,NA,NA,3
"9106","GOSNELLS CITY",-32.0503,115.9819,2002-10-31,660.2,NA,NA,NA,NA,7
"9111","KARNET",-32.4397,116.075,2002-10-31,934.8,NA,NA,NA,NA,5
"9113","ROLEYSTONE",-32.1117,116.0942,2002-10-31,723,NA,NA,NA,NA,3
"9114","LANCELIN",-31.0175,115.3289,2002-10-31,409.6,NA,NA,NA,NA,2
"9131","JURIEN",-30.3033,115.0367,2002-10-31,292.5,NA,NA,NA,NA,1
"9172","JANDAKOT AERO",-32.1017,115.8781,2002-10-31,638.4,NA,NA,NA,NA,4
"9178","GINGIN AERO",-31.4636,115.8625,2002-10-31,529.1,NA,NA,NA,NA,5
"9194","MEDINA RESEARCH CENTRE",-32.2222,115.8067,2002-10-31,542.5,NA,NA,NA,NA,3
"9225","PERTH METRO",-31.92,115.8714,2002-10-31,583,NA,NA,NA,NA,3
"9240","BICKLEY",-32.0083,116.1347,2002-10-31,929.4,NA,NA,NA,NA,6
"9500","ALBANY",-35.0097,117.8836,2002-10-31,630.7,NA,NA,NA,NA,4
"9503","BOYANUP POST OFFICE",-33.4839,115.7267,2002-10-31,665.2,NA,NA,NA,NA,5
"9504","BOYUP BROOK",-33.8333,116.3883,2002-10-31,461.6,NA,NA,NA,NA,6
"9505","BALINGUP POST OFFICE",-33.7875,115.98,2002-10-31,709.9,NA,NA,NA,NA,7
"9507","BANNISTER",-32.6842,116.5181,2002-10-31,490.2,NA,NA,NA,NA,6
