"site.no","station.name","LATITUDE","LONGITUDE","owner","last.date","rtd","median","anom","perc","perc.anom","curr.dec"
"10000","AMERY ACRES",-31.1683,117.0828,"BOM",2021-05-18,20.6,12.75,7.85,161.6,61.6,8
"10004","BEACON",-30.4506,117.8631,"BOM",2021-05-18,38.7,10.75,27.95,360,260,10
"10006","BELKA",-31.7292,118.1094,"BOM",2021-05-18,37,10.8,26.2,342.6,242.6,10
"10007","BENCUBBIN",-30.8094,117.8589,"BOM",2021-05-18,42.9,12.05,30.85,356,256,10
"10009","BOLGART",-31.2767,116.5078,"BOM",2021-05-18,34.7,16.7,18,207.8,107.8,8
"10011","BONNIE ROCK",-30.4747,118.3806,"BOM",2021-05-18,26.8,11.1,15.7,241.4,141.4,8
"10019","BURRACOPPIN POST OFFICE",-31.3969,118.4744,"BOM",2021-05-18,61.5,14.2,47.3,433.1,333.1,10
"10022","CARDONIA",-31.5,117.8025,"BOM",2021-05-18,22,11.8,10.2,186.4,86.4,8
"10023","CARTERVILLE",-31.5022,116.9394,"BOM",2021-05-18,37,12.4,24.6,298.4,198.4,9
"10026","GOODLANDS",-30.0617,117.1403,"BOM",2021-05-18,21.2,14.7,6.5,144.2,44.2,7
"10030","WATTONING",-30.7689,118.2189,"BOM",2021-05-18,52.3,8.4,43.9,622.6,522.6,10
"10032","COWCOWING",-30.9972,117.3939,"BOM",2021-05-18,29,10.9,18.1,266.1,166.1,9
"10040","DOODLAKINE",-31.6103,117.8761,"BOM",2021-05-18,15.1,11.1,4,136,36,7
"10041","DOONGIN PEAK",-31.6203,117.4356,"BOM",2021-05-18,32.6,12.1,20.5,269.4,169.4,9
"10042","DOWERIN POST OFFICE",-31.1947,117.03,"BOM",2021-05-18,22.2,13.7,8.5,162,62,8
"10044","BUNGULLA",-31.6247,117.5414,"BOM",2021-05-18,29.4,13.3,16.1,221.1,121.1,8
"10045","EJANDING",-31.0106,117.1319,"BOM",2021-05-18,25.3,11.3,14,223.9,123.9,8
"10055","GABBIN",-30.8017,117.6778,"BOM",2021-05-18,26.5,13.15,13.35,201.5,101.5,8
"10058","GOOMALLING",-31.3017,116.8253,"BOM",2021-05-18,26.4,16.85,9.55,156.7,56.7,7
"10061","HAPPY VALLEY",-31.1422,116.9542,"BOM",2021-05-18,24.2,11.6,12.6,208.6,108.6,8
"10069","JUROKINE",-31.3,116.6,"BOM",2021-05-18,36.1,17.6,18.5,205.1,105.1,9
"10070","KALANNIE",-30.37,117.1119,"BOM",2021-05-18,19.7,14.3,5.4,137.8,37.8,7
"10073","KELLERBERRIN",-31.6192,117.7194,"BOM",2021-05-18,23.5,11.9,11.6,197.5,97.5,8
"10076","KONNONGORRING",-31.0611,116.7311,"BOM",2021-05-18,21.4,11,10.4,194.5,94.5,7
"10077","KOORDA",-30.8261,117.4811,"BOM",2021-05-18,32.9,13.7,19.2,240.1,140.1,9
"10082","KUNUNOPPIN",-31.1139,117.9167,"BOM",2021-05-18,32.6,13.5,19.1,241.5,141.5,9
"10084","GLAMOFF",-30.1069,117.3583,"BOM",2021-05-18,35,13.9,21.1,251.8,151.8,8
"10091","MECKERING",-31.6333,117.0069,"BOM",2021-05-18,35.5,14.3,21.2,248.3,148.3,9
"10092","MERREDIN",-31.4769,118.2778,"BOM",2021-05-18,43.8,12.6,31.2,347.6,247.6,10
"10096","MOLLERIN POST OFFICE",-30.4594,117.5217,"BOM",2021-05-18,31.2,12.05,19.15,258.9,158.9,9
"10097","MONINGARIN",-30.6567,117.2583,"BOM",2021-05-18,27.4,15,12.4,182.7,82.7,8
"10102","MUKINBUDIN",-30.9172,118.2078,"BOM",2021-05-18,56.3,7.9,48.4,712.7,612.7,10
"10111","NORTHAM",-31.6422,116.6692,"BOM",2021-05-18,74.4,19.75,54.65,376.7,276.7,10
"10112","NUNGARIN POST OFFICE",-31.1856,118.0989,"BOM",2021-05-18,40.5,14.4,26.1,281.2,181.2,10
"10115","QUELLINGTON",-31.7733,116.8636,"BOM",2021-05-18,40.8,13.95,26.85,292.5,192.5,10
"10119","KITLANE",-31.7964,118.3939,"BOM",2021-05-18,41.7,12.4,29.3,336.3,236.3,10
"10121","TAMMIN POST OFFICE",-31.645,117.485,"BOM",2021-05-18,31.9,13.6,18.3,234.6,134.6,9
"10124","NANGEENAN",-31.5147,118.1736,"BOM",2021-05-18,33.5,11.1,22.4,301.8,201.8,9
"10125","TOODYAY",-31.5464,116.4583,"BOM",2021-05-18,61.2,20.6,40.6,297.1,197.1,10
"10126","TRAYNING",-31.1167,117.7933,"BOM",2021-05-18,26,12.2,13.8,213.1,113.1,8
"10134","WATTENING",-31.3128,116.5142,"BOM",2021-05-18,32.2,17,15.2,189.4,89.4,8
"10135","WIALKI",-30.4883,118.1242,"BOM",2021-05-18,43.4,11,32.4,394.5,294.5,10
"10136","WIALKI SOUTH",-30.59,118.1486,"BOM",2021-05-18,46.6,10.8,35.8,431.5,331.5,10
"10140","WYALKATCHEM",-31.1817,117.3781,"BOM",2021-05-18,26.8,12.4,14.4,216.1,116.1,9
"10141","XANTIPPE",-30.2903,117.0092,"BOM",2021-05-18,25.3,9.4,15.9,269.1,169.1,9
"10143","YGNATTERING",-31.4008,117.2706,"BOM",2021-05-18,30.7,11,19.7,279.1,179.1,9
"10145","YORKRAKINE",-31.3767,117.5839,"BOM",2021-05-18,23,10.3,12.7,223.3,123.3,8
